epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,prune,0.09888800382614138,0.12390671968460087,-0.8161968469619751,"[122, 122, 122, 122]"
4,prune,-0.025923675298690774,0.018835794925689764,-0.6292614817619324,"[116, 116, 116, 116]"
6,none,-0.04152409434318538,-0.018273717164993264,-0.5565563440322876,"[116, 116, 116, 116]"
8,prune,-0.014222937822341963,0.000576564669609092,-0.5416986554861069,"[111, 111, 111, 111]"
10,prune,0.0061366438865660955,0.013073289394378573,-0.5428247570991516,"[106, 106, 106, 106]"
12,prune,-0.0049242377281188965,0.0068908452987670454,-0.487686088681221,"[101, 101, 101, 101]"
14,prune,0.006093409657478344,0.020931226015090953,-0.5045769363641739,"[96, 96, 96, 96]"
16,prune,-0.015654224157333363,0.0221074938774109,-0.47010856568813325,"[92, 92, 92, 92]"
18,grow,0.00701130628585811,-0.0101726293563843,-0.4581365644931793,"[111, 92, 92, 92]"
20,prune,-0.03085842132568356,0.005477577447891235,-0.451637202501297,"[106, 88, 88, 88]"
22,none,-0.008259770274162304,-0.006790253520011891,-0.44348483979701997,"[106, 88, 88, 88]"
24,grow,0.0162909537553787,0.01288151741027832,-0.4467691361904144,"[106, 88, 88, 106]"
26,prune,-0.0024912983179092296,0.0016948878765106201,-0.43144709169864653,"[101, 84, 84, 101]"
28,none,-0.036851778626441956,-0.002059096097946189,-0.4243136405944824,"[101, 84, 84, 101]"
30,prune,-0.020795917510986306,0.01506240963935851,-0.4196830093860626,"[96, 80, 80, 96]"
32,prune,-0.010007369518280018,0.016665112972259533,-0.42866804003715514,"[92, 76, 76, 92]"
34,none,-0.009824898838996898,-0.005116137862205494,-0.41094228625297546,"[92, 76, 76, 92]"
36,prune,-0.01271832883358004,0.00631558895111084,-0.41088404357433317,"[88, 73, 73, 88]"
38,prune,-0.006988671422004711,0.010591623187065136,-0.4049291044473648,"[84, 70, 70, 84]"
40,prune,-0.011580917239189137,0.0011282056570052768,-0.4013532429933548,"[80, 67, 67, 80]"
42,none,-0.0066673338413238414,-0.01806662678718568,-0.39027610421180725,"[80, 67, 67, 80]"
44,prune,0.0017133682966232744,0.018140748143196106,-0.4014699995517731,"[76, 64, 64, 76]"
46,prune,0.0037710964679718018,0.01074373722076416,-0.39383567273616793,"[73, 61, 61, 73]"
48,grow,0.0015845060348511075,0.00040268301963808373,-0.4005322128534317,"[88, 61, 61, 73]"
51,none,-0.030521005392074585,-0.01790154576301578,-0.3904783636331558,"[88, 61, 61, 73]"
54,prune,-0.01907180845737455,0.008220416307449352,-0.3927397131919861,"[84, 58, 58, 70]"
57,none,-0.02038899064064026,-0.01654605269432069,-0.3787600129842758,"[84, 58, 58, 70]"
60,grow,0.003464001417160023,-0.009250810742378213,-0.3888156682252884,"[84, 58, 70, 70]"
63,none,-0.01084272563457489,-0.0030835539102554432,-0.3827674865722656,"[84, 58, 70, 70]"
66,prune,-0.02111559212207792,0.01907479763031006,-0.39516621530056,"[80, 56, 67, 67]"
69,prune,-0.009731486439704895,0.00624488592147826,-0.3869732290506363,"[76, 54, 64, 64]"
73,none,-0.020348823070526156,-0.009215760231018055,-0.37998928427696227,"[76, 54, 64, 64]"
77,prune,-0.005901658535003629,0.0027360528707504606,-0.3742788404226303,"[73, 52, 61, 61]"
81,none,-0.0003707706928253174,-0.01216225028038026,-0.38165504336357114,"[73, 52, 61, 61]"
85,prune,-0.01880995035171512,0.0010931372642516979,-0.37251520752906797,"[70, 50, 58, 58]"
90,prune,0.005102282762527444,0.02219816446304318,-0.38998748660087584,"[67, 48, 56, 56]"
95,none,-0.01434632241725925,-0.0053583234548568726,-0.37056546211242675,"[67, 48, 56, 56]"
101,none,-0.005485570430755593,-0.004827290773391724,-0.38248106837272644,"[67, 48, 56, 56]"
107,prune,0.02207683026790619,0.024399870634079,-0.3926401138305664,"[64, 46, 54, 54]"
114,grow,0.0029559284448623657,6.408989429473877e-05,-0.37209674417972566,"[77, 46, 54, 54]"
121,prune,-0.007500919699668873,0.0018826067447662576,-0.3787475049495697,"[74, 44, 52, 52]"
129,none,-0.0021791070699692106,-0.0007796645164490079,-0.382879963517189,"[74, 44, 52, 52]"
138,prune,-0.01201314330101011,0.011294093728065502,-0.3876964241266251,"[71, 42, 50, 50]"
148,none,-0.01127797663211827,-0.0036632686853408924,-0.3901606410741806,"[71, 42, 50, 50]"
159,none,-0.014859658479690563,-0.000767579674720742,-0.3868177682161331,"[71, 42, 50, 50]"
172,prune,0.001174047589302063,0.006698122620582558,-0.3998292118310928,"[68, 40, 48, 48]"
187,prune,-0.0081638664007187,0.008288148045539845,-0.4059858381748199,"[65, 38, 46, 46]"
