epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,prune,0.1058695197105407,0.15747921466827386,-0.9054564297199249,"[122, 122, 122, 122]"
4,prune,0.022765678167343206,0.03938193321228034,-0.6763523101806641,"[116, 116, 116, 116]"
6,prune,-0.030730289220809892,0.015992569923400923,-0.5971776783466339,"[111, 111, 111, 111]"
8,prune,-0.0060457050800324375,0.015659824013710022,-0.5673976063728332,"[106, 106, 106, 106]"
10,prune,-0.004382455348968528,0.031740537285804726,-0.5384755969047547,"[101, 101, 101, 101]"
12,prune,0.003018987178802446,0.036643987894058205,-0.5331965684890747,"[96, 96, 96, 96]"
14,none,-0.01744279861450193,-0.00954349637031554,-0.4892274081707001,"[96, 96, 96, 96]"
16,prune,-0.022654676437377952,0.013117483258247353,-0.4904948234558105,"[92, 92, 92, 92]"
18,prune,-0.011469808220863298,0.0027265280485153642,-0.47055075466632845,"[88, 88, 88, 88]"
20,none,-0.027568912506103493,-0.02003442347049711,-0.45769473612308503,"[88, 88, 88, 88]"
22,prune,-0.02967722713947296,0.0010997653007507324,-0.44780362248420713,"[84, 84, 84, 84]"
24,none,-0.019924300909042347,-0.002237853407859758,-0.4456347912549973,"[84, 84, 84, 84]"
26,prune,-0.015239644050598133,0.008833265304565407,-0.45416954159736633,"[80, 80, 80, 80]"
28,prune,-0.011834922432899464,0.014241826534271251,-0.44909321665763857,"[76, 76, 76, 76]"
30,prune,0.00562397241592405,0.0066402047872543,-0.4392778754234314,"[73, 73, 73, 73]"
32,prune,-0.03313283026218411,0.0004510760307312456,-0.4251213163137436,"[70, 70, 70, 70]"
34,prune,-0.013177913427352916,0.014265686273574829,-0.43099984526634216,"[67, 67, 67, 67]"
36,none,-0.01957667171955113,-0.0019965410232544167,-0.4110658824443817,"[67, 67, 67, 67]"
38,none,-0.011358761787414517,-0.0023493409156798983,-0.41390506625175477,"[67, 67, 67, 67]"
40,none,-0.013815352320671104,-0.018559664487838745,-0.40372331738471984,"[67, 67, 67, 67]"
42,prune,-0.01764102280139923,0.005791956186294578,-0.4023054242134094,"[64, 64, 64, 64]"
44,prune,-0.01197744905948639,0.00710241198539735,-0.4122797936201096,"[61, 61, 61, 61]"
46,prune,-0.0012689679861068726,0.0008642524480819702,-0.4031341105699539,"[58, 58, 58, 58]"
48,prune,-0.006171137094497681,0.01863058507442472,-0.41589546799659727,"[56, 56, 56, 56]"
51,prune,-0.0017566263675690141,0.002181127667427063,-0.3997625023126602,"[54, 54, 54, 54]"
54,none,-0.006699088215827986,-0.0020167052745819203,-0.3877117395401001,"[54, 54, 54, 54]"
57,none,-0.010232663154602084,-0.0034208774566650835,-0.3781594693660736,"[54, 54, 54, 54]"
60,prune,0.005820089578628507,0.017436531186103776,-0.4012275695800781,"[52, 52, 52, 52]"
63,prune,-0.0054034054279327726,0.0002698242664336825,-0.3806874185800552,"[50, 50, 50, 50]"
66,none,-0.020641010999679577,-0.014124235510826089,-0.37271513044834137,"[50, 50, 50, 50]"
69,prune,0.007350912690162692,0.023743781447410628,-0.3934307485818863,"[48, 48, 48, 48]"
73,prune,-0.017432829737663247,0.01401698887348174,-0.37257606983184816,"[46, 46, 46, 46]"
77,none,-0.01050655245780946,-0.012313652038574208,-0.36618881225585936,"[46, 46, 46, 46]"
81,none,-0.015958854556083646,-0.011766594648361162,-0.3694378972053528,"[46, 46, 46, 46]"
85,prune,0.0027875810861587302,0.007460603117942777,-0.3872597426176071,"[44, 44, 44, 44]"
90,none,-0.012643915414810192,-0.012674057483673118,-0.36110255122184753,"[44, 44, 44, 44]"
95,none,-0.009629750251770042,-0.021311855316162087,-0.37278370559215546,"[44, 44, 44, 44]"
101,none,-0.0044182896614074485,-0.001931503415107727,-0.3722422391176224,"[44, 44, 44, 44]"
107,none,-0.010965162515640225,-0.008809643983840931,-0.36594062447547915,"[44, 44, 44, 44]"
114,none,-0.010804978013038646,-0.001745706796646096,-0.3730083376169205,"[44, 44, 44, 44]"
121,none,-0.017529818415641774,-0.009399718046188332,-0.3649668663740158,"[44, 44, 44, 44]"
129,none,-0.0041538089513778464,-0.012977656722068798,-0.36843388974666597,"[44, 44, 44, 44]"
138,grow,0.007128295302391063,-0.00201951861381533,-0.37068218290805816,"[53, 44, 44, 44]"
148,prune,-0.006256356835365295,0.0018365770578384621,-0.38504108488559724,"[51, 42, 42, 42]"
159,prune,-0.009653890132904075,0.002399855852127042,-0.3938858836889267,"[49, 40, 40, 40]"
172,prune,-0.004064881801605191,0.002993705868720997,-0.38488340079784394,"[47, 38, 38, 38]"
187,none,-0.0009694010019302146,-0.0003654181957244984,-0.3765488088130951,"[47, 38, 38, 38]"
