epoch,action,delta_grow,delta_prune,L_before,L_after_none,hidden_sizes
2,prune,0.003458029031753518,0.01178221702575688,-0.8708914339542388,-0.6792407333850861,"[116, 116, 116, 116]"
4,prune,-0.013384872674941928,0.011802440881729215,-0.6637547552585602,-0.5908509969711304,"[105, 105, 105, 105]"
6,none,-0.013698956370353677,-0.026222136616706804,-0.5588507801294327,-0.5245146542787552,"[105, 105, 105, 105]"
8,prune,-0.02114374339580538,0.01540393531322476,-0.510397133231163,-0.5128808826208114,"[95, 95, 95, 95]"
10,prune,-0.014447191357612632,0.012252250313758872,-0.4990852326154709,-0.5005775034427643,"[86, 86, 86, 86]"
12,grow,0.0012188732624053844,-0.004592549800872814,-0.4715897411108017,-0.47112799882888795,"[104, 86, 86, 86]"
14,none,-0.029041749238967907,-0.010030552744865417,-0.4730230510234833,-0.4638145327568054,"[104, 86, 86, 86]"
16,prune,-0.006740519404411338,0.0022483378648757713,-0.47095412015914917,-0.45546809434890745,"[94, 78, 78, 78]"
18,grow,0.009863254427909807,0.005165860056877136,-0.4427081227302551,-0.44922389686107633,"[94, 78, 94, 78]"
20,prune,-0.008381730318069436,0.013449454307556175,-0.4308273196220398,-0.4396094173192978,"[85, 71, 85, 71]"
22,prune,-0.03928675353527067,0.0012490272521972767,-0.4267312526702881,-0.42607681155204774,"[77, 64, 77, 64]"
24,none,-0.009816440939903248,-0.01590893864631654,-0.40752204358577726,-0.40578903555870055,"[77, 64, 77, 64]"
26,none,-0.006682649254798889,-0.009346666932106007,-0.4056981086730957,-0.4038842499256134,"[77, 64, 77, 64]"
28,prune,-0.019340178370475802,0.012047085165977467,-0.3959833174943924,-0.40516321957111356,"[70, 58, 70, 58]"
30,prune,0.0020220130681991577,0.007150918245315552,-0.40728076100349425,-0.40200437903404235,"[63, 53, 63, 53]"
32,none,-0.009306094050407387,-0.0037510514259337935,-0.39462977051734927,-0.39634779989719393,"[63, 53, 63, 53]"
34,prune,-0.008809116482734691,0.0016217678785324097,-0.39547288715839385,-0.3961568087339401,"[57, 48, 57, 48]"
36,prune,0.00593071281909946,0.010611104965210005,-0.41406242847442626,-0.40613208115100863,"[52, 44, 52, 44]"
38,none,-0.0027912020683288352,-0.030270954966545083,-0.41638889610767366,-0.3900499284267426,"[52, 44, 52, 44]"
40,prune,0.01581597626209258,0.023572066426277183,-0.38234356343746184,-0.4076876312494278,"[47, 40, 47, 40]"
42,none,-0.0022455692291259433,-0.023405754566192594,-0.3768968850374222,-0.3820019602775574,"[47, 40, 47, 40]"
44,prune,-0.010758861899375916,0.005975076556205716,-0.3888832747936249,-0.3986136496067047,"[43, 36, 43, 36]"
46,grow,0.012400904297828641,0.004573974013328541,-0.39175882935523987,-0.4037749499082565,"[52, 36, 43, 36]"
48,prune,0.00879503488540645,0.011268851161003068,-0.3895775377750397,-0.39373824596405027,"[47, 33, 39, 33]"
51,grow,0.00188401937484739,-0.0008447676897049283,-0.3712258875370026,-0.38651861548423766,"[47, 40, 39, 33]"
54,none,-0.023336809873580944,-0.00800655484199525,-0.3829501301050186,-0.3761391848325729,"[47, 40, 39, 33]"
57,prune,-0.0017595350742339866,0.00036814212799074486,-0.3637849748134613,-0.3756721019744873,"[43, 36, 36, 30]"
60,none,-0.015008857846260049,-0.014911320805549577,-0.3716487497091293,-0.3689341932535172,"[43, 36, 36, 30]"
63,none,-0.016347160935401894,-0.0036360681056976096,-0.37809246182441714,-0.3712745875120163,"[43, 36, 36, 30]"
66,none,-0.01722478270530703,-0.00851493775844575,-0.3739042907953262,-0.3755589038133621,"[43, 36, 36, 30]"
69,prune,-0.0037402093410491832,0.0030365169048309215,-0.3701014071702957,-0.3781552791595459,"[39, 33, 33, 27]"
73,grow,0.006834790110588074,0.005651256442070041,-0.38043115437030794,-0.3854783266782761,"[47, 33, 33, 27]"
77,none,-0.009306064248085,-0.005124884843826283,-0.3765694320201874,-0.3753118932247162,"[47, 33, 33, 27]"
81,none,-0.008903610706329335,-0.017441821098327648,-0.3618020832538605,-0.35738155245780945,"[47, 33, 33, 27]"
85,prune,-0.0030790388584137074,0.005995249748229958,-0.38459326326847076,-0.3690973550081253,"[43, 30, 30, 25]"
90,none,-0.006988444924354575,-0.0012537747621536033,-0.37098881900310515,-0.3583097606897354,"[43, 30, 30, 25]"
95,grow,0.005660572648048423,-0.006656897068023637,-0.3593572646379471,-0.37371533513069155,"[43, 30, 30, 30]"
101,prune,-0.012412574887275707,0.004770547151565552,-0.36318774819374083,-0.3647230714559555,"[39, 27, 27, 27]"
107,none,-0.008431315422058105,-0.02253341078758242,-0.371440252661705,-0.36725214719772337,"[39, 27, 27, 27]"
114,prune,-0.002163371443748452,0.006316682696342446,-0.3627820163965225,-0.3688356876373291,"[36, 25, 25, 25]"
121,grow,0.00368574559688567,-0.00419802367687222,-0.3594427168369293,-0.3603536754846573,"[44, 25, 25, 25]"
129,grow,0.005110856890678417,0.003879001736640908,-0.3699265569448471,-0.37105980813503264,"[44, 25, 30, 25]"
138,prune,-0.0007336169481277355,0.001392909884452842,-0.38546057641506193,-0.3624841421842575,"[40, 23, 27, 23]"
148,prune,0.003769317269325223,0.00588184893131255,-0.35602904558181764,-0.37311178743839263,"[36, 21, 25, 21]"
159,grow,0.014586368203163114,0.009847837686538685,-0.37063764929771426,-0.38057522773742675,"[44, 21, 25, 21]"
172,prune,9.657442569732666e-05,0.011589622497558627,-0.382644847035408,-0.3894717663526535,"[40, 19, 23, 19]"
187,none,-0.0031694769859313965,-0.007081392407417342,-0.3783947616815567,-0.37949307858943937,"[40, 19, 23, 19]"
